1581435291.821;7.282;113;811;3507;788;3591
1581435291.873;7.334;114;811;3533;779;3584
1581435291.940;7.401;115;870;3600;770;3577
1581435292.011;7.472;116;680;3602;761;3570
1581435292.085;7.546;117;591;3617;752;3563
1581435292.171;7.632;118;620;3296;743;3555
1581435292.238;7.699;119;584;3442;734;3548
1581435292.335;7.796;120;520;3806;725;3541
1581435292.400;7.861;121;462;3256;716;3534
1581435292.474;7.935;122;720;3257;708;3526
1581435292.545;8.006;123;647;3389;699;3519
1581435292.625;8.086;124;646;3500;690;3511
1581435292.694;8.155;125;718;3468;682;3504
1581435292.766;8.227;126;718;3436;673;3496
1581435292.833;8.294;127;586;3503;665;3489
1581435292.901;8.362;128;486;3474;656;3481
1581435292.971;8.432;129;275;3449;648;3473
1581435293.040;8.501;130;368;3086;639;3466
1581435293.117;8.578;131;152;3274;631;3458
1581435293.183;8.644;132;397;2994;623;3450
1581435293.249;8.710;133;741;3149;614;3442
1581435293.338;8.799;134;265;3377;606;3434
1581435293.406;8.867;135;192;3217;598;3426
1581435293.478;8.939;136;246;3164;590;3418
1581435293.543;9.004;137;430;3210;582;3410
1581435293.613;9.074;138;530;3229;574;3402
1581435293.682;9.143;139;739;3444;566;3394
1581435293.746;9.207;140;693;3319;558;3386
1581435293.818;9.279;141;205;3193;550;3377
1581435293.907;9.368;142;-36;3012;542;3369
1581435293.974;9.435;143;370;3081;534;3361
1581435294.044;9.505;144;279;3173;527;3352
1581435294.151;9.612;145;154;3243;519;3344
1581435294.221;9.682;146;364;3169;511;3335
1581435294.295;9.756;147;386;3266;504;3327
1581435294.431;9.892;148;82;3212;489;3310
1581435294.494;9.955;149;293;3349;481;3301
1581435294.554;10.015;150;406;3203;474;3292
1581435294.614;10.075;151;171;3132;466;3284
1581435294.681;10.142;152;165;3066;459;3275
1581435294.757;10.218;153;297;2996;452;3266
1581435294.831;10.292;154;245;3076;445;3257
1581435294.898;10.359;155;11;2953;437;3248
1581435294.966;10.427;156;39;3037;430;3239
1581435295.028;10.489;157;247;3009;423;3230
1581435295.111;10.572;158;19;3227;416;3221
1581435295.176;10.637;159;286;3035;409;3212
1581435295.244;10.705;160;54;3120;402;3203
1581435295.316;10.777;161;15;3083;396;3194
1581435295.384;10.845;162;233;3149;389;3185
1581435295.462;10.923;163;-91;3065;382;3176
1581435295.533;10.994;164;-20;3126;375;3166
1581435295.602;11.063;165;-122;2864;369;3157
1581435295.687;11.148;166;150;2856;362;3148
1581435295.751;11.212;167;50;2737;356;3138
1581435295.823;11.284;168;-123;2975;349;3129
1581435295.897;11.358;169;101;3083;343;3119
1581435295.967;11.428;170;-82;2778;336;3110
1581435296.034;11.495;171;-48;2914;330;3100
1581435296.111;11.572;172;-97;2770;324;3091
1581435296.182;11.643;173;-4;2799;317;3081
1581435296.248;11.709;174;-240;2846;311;3072
1581435296.321;11.782;175;-165;2844;305;3062
1581435296.391;11.852;176;-196;2885;299;3052
1581435296.460;11.921;177;-108;2772;293;3043
1581435296.538;11.999;178;6;3056;287;3033
1581435296.609;12.070;179;-170;2979;281;3023
1581435296.677;12.138;180;-67;2777;276;3013
1581435296.765;12.226;181;-81;2693;270;3003
1581435296.849;12.310;182;0;2658;264;2993
1581435296.929;12.390;183;-302;2994;259;2983
1581435296.995;12.456;184;-91;2957;253;2974
1581435297.069;12.530;185;40;2699;247;2964
1581435297.144;12.605;186;-251;2920;242;2953
1581435297.211;12.672;187;-233;2948;236;2943
1581435297.311;12.772;188;-45;2734;231;2933
1581435297.379;12.840;189;-274;2928;226;2923
1581435297.454;12.915;190;-179;2562;221;2913
1581435297.526;12.987;191;-225;2704;215;2903
1581435297.596;13.057;192;-312;2735;210;2893
1581435297.665;13.126;193;-420;2910;205;2882
1581435297.736;13.197;194;-71;2904;200;2872
1581435297.811;13.272;195;-269;2723;195;2862
1581435297.881;13.342;196;-179;2753;190;2852
1581435297.953;13.414;197;-183;2604;186;2841
1581435298.022;13.483;198;-69;2594;181;2831
1581435298.098;13.559;199;-472;2848;176;2820
1581435298.165;13.626;200;-324;2489;171;2810
1581435298.231;13.692;201;-358;2485;167;2800
1581435298.303;13.764;202;-398;2680;162;2789
1581435298.375;13.836;203;-457;2688;158;2779
1581435298.449;13.910;204;-201;2408;153;2768
1581435298.511;13.972;205;-347;2721;149;2757
1581435298.580;14.041;206;-130;2798;145;2747
1581435298.647;14.108;207;-168;2582;140;2736
1581435298.711;14.172;208;-357;2507;136;2726
1581435298.782;14.243;209;-268;2695;132;2715
1581435298.850;14.311;210;-270;2477;128;2704
1581435298.917;14.378;211;-183;2485;124;2694
1581435298.981;14.442;212;-160;2468;120;2683
1581435299.062;14.523;213;-203;2614;116;2672
1581435299.147;14.608;214;-440;2467;113;2661
1581435299.215;14.676;215;-146;2547;109;2651
1581435299.288;14.749;216;-301;2117;105;2640
1581435299.359;14.820;217;-316;2320;101;2629
1581435299.432;14.893;218;-256;2523;98;2618
1581435299.509;14.970;219;-500;2589;94;2607
1581435299.577;15.038;220;63;2147;91;2596
1581435299.647;15.108;221;7;2285;88;2585
1581435299.713;15.174;222;-176;2488;84;2574
1581435299.782;15.243;223;201;2197;81;2563
1581435299.849;15.310;224;-132;2399;78;2552
1581435299.918;15.379;225;-174;2329;75;2542
1581435299.988;15.449;226;20;2212;72;2531
1581435300.058;15.519;227;-139;2429;69;2519
1581435300.135;15.596;228;-413;2328;66;2508
1581435300.205;15.666;229;-235;2319;63;2497
1581435300.279;15.740;230;-542;2603;60;2486
1581435300.349;15.810;231;-236;2467;57;2475
1581435300.417;15.878;232;-336;2538;55;2464
