0.000;1988;4103;2000.00;4000.00
0.060;1860;4246;1988.58;3999.97
0.114;2226;4065;1977.15;3999.87
0.174;2124;4326;1965.73;3999.71
0.235;2138;4143;1954.31;3999.48
0.294;1855;4325;1942.89;3999.18
0.361;1906;3999;1931.47;3998.83
0.428;1976;4240;1920.05;3998.40
0.481;2076;4231;1908.64;3997.91
0.548;1889;4391;1897.23;3997.36
0.611;1652;4199;1885.82;3996.74
0.677;1718;4538;1874.42;3996.05
0.741;2037;4330;1863.02;3995.30
0.805;1764;2824;1851.62;3994.49
0.867;1615;4054;1840.23;3993.61
0.927;1845;4112;1828.85;3992.66
0.993;1846;4091;1817.47;3991.65
1.059;1901;4173;1806.10;3990.58
1.123;1493;2742;1794.73;3989.44
1.181;2027;4300;1783.37;3988.23
1.243;1678;2868;1772.02;3986.96
1.305;1903;4776;1760.67;3985.63
1.366;1793;4332;1749.33;3984.23
1.428;1760;4538;1738.00;3982.77
1.488;1476;4461;1726.68;3981.24
1.554;1233;4473;1715.37;3979.64
1.617;1572;4658;1704.07;3977.98
1.685;1519;4093;1692.77;3976.26
1.754;1673;4219;1681.49;3974.48
1.823;1780;4180;1670.22;3972.62
1.890;1955;4127;1658.96;3970.71
1.953;1839;3945;1647.70;3968.73
2.015;1641;4180;1636.47;3966.68
2.076;1583;4161;1625.24;3964.57
2.142;2001;4298;1614.02;3962.40
2.201;1817;3985;1602.82;3960.17
2.269;1579;3968;1591.63;3957.86
2.333;1544;4026;1580.45;3955.50
2.394;1715;4060;1569.29;3953.07
2.456;1490;3918;1558.14;3950.58
2.522;1824;3969;1547.01;3948.02
2.589;1823;4014;1535.89;3945.40
2.653;1602;4238;1524.78;3942.72
2.716;1819;4149;1513.69;3939.98
2.786;1672;4269;1502.62;3937.17
2.854;1671;4311;1491.56;3934.29
2.919;1694;3957;1480.52;3931.36
2.984;1366;4213;1469.50;3928.36
3.055;1397;4227;1458.49;3925.30
3.117;1551;4039;1447.51;3922.17
3.178;1384;4244;1436.53;3918.99
3.246;1635;4290;1425.58;3915.74
3.316;1284;3973;1414.65;3912.42
3.384;1341;4147;1403.74;3909.05
3.448;1262;3934;1392.84;3905.61
3.509;1198;4145;1381.97;3902.11
3.579;954;2717;1371.11;3898.55
3.634;1541;4211;1360.28;3894.93
3.694;1426;3959;1349.46;3891.24
3.761;1369;4068;1338.67;3887.50
3.828;1277;4030;1327.90;3883.69
3.888;1148;4122;1317.15;3879.82
3.955;1011;2413;1306.43;3875.89
4.062;1300;3975;1285.04;3867.84
4.126;1161;4189;1274.38;3863.73
4.184;1629;4205;1263.75;3859.55
4.241;1362;3866;1253.14;3855.32
4.304;1336;4217;1242.56;3851.02
4.371;1220;3987;1232.00;3846.66
4.439;1248;4281;1221.46;3842.25
4.505;1332;4193;1210.95;3837.77
4.573;1243;4039;1200.47;3833.23
4.644;1251;4085;1190.01;3828.64
4.701;1332;3886;1179.58;3823.98
4.768;1384;3853;1169.17;3819.26
4.835;1324;3913;1158.79;3814.49
4.902;1566;4238;1148.44;3809.65
4.976;1351;3966;1138.12;3804.76
5.043;1276;3997;1127.82;3799.81
5.104;1267;4040;1117.56;3794.80
5.169;1347;4110;1107.32;3789.73
5.231;1113;3829;1097.11;3784.60
5.292;1119;3809;1086.93;3779.41
5.355;1300;3874;1076.78;3774.17
5.421;1182;3732;1066.67;3768.87
5.486;1111;3889;1056.58;3763.51
5.547;1058;3934;1046.52;3758.09
5.608;980;2858;1036.49;3752.61
5.662;1144;3860;1026.50;3747.08
5.726;1394;3724;1016.53;3741.49
5.786;1169;4021;1006.60;3735.85
5.847;1408;4017;996.70;3730.14
5.906;1300;3973;986.84;3724.38
5.967;876;3739;977.00;3718.57
6.030;1291;4129;967.21;3712.70
6.096;1189;3880;957.44;3706.77
6.163;1211;3707;947.71;3700.79
6.225;992;3908;938.01;3694.75
6.295;1028;3889;928.35;3688.66
6.358;1092;3783;918.72;3682.51
6.421;1221;3735;909.13;3676.30
6.481;1294;3795;899.57;3670.05
6.542;1265;4053;890.05;3663.73
6.609;965;2627;880.56;3657.37
6.664;1099;3785;871.11;3650.94
6.731;1005;3378;861.70;3644.47
6.801;584;3572;852.33;3637.94
6.866;568;3763;842.99;3631.36
6.933;745;3517;833.69;3624.72
7.004;665;3698;824.43;3618.03
7.071;844;3596;815.21;3611.29
7.136;790;3525;806.02;3604.50
7.203;646;3668;796.88;3597.65
7.273;664;3496;787.77;3590.75
7.342;440;3898;778.70;3583.80
7.394;755;3339;769.68;3576.80
7.461;833;3704;760.69;3569.75
7.532;855;3569;751.74;3562.64
7.606;510;2726;742.84;3555.49
7.692;334;2930;733.98;3548.28
7.759;576;3569;725.15;3541.03
7.856;630;3358;716.37;3533.72
7.921;474;3635;707.63;3526.36
7.995;754;3582;698.93;3518.96
8.066;610;3396;690.28;3511.50
8.146;721;3286;681.67;3503.99
8.215;652;3513;673.10;3496.44
8.287;515;3473;664.57;3488.83
8.354;686;3451;656.09;3481.18
8.422;554;3490;647.65;3473.48
8.492;626;3374;639.26;3465.73
8.561;579;3406;630.91;3457.94
8.638;427;3578;622.60;3450.09
8.704;694;3218;614.34;3442.20
8.770;431;3257;606.12;3434.26
8.859;688;3461;597.96;3426.28
8.927;357;3182;589.83;3418.25
8.999;410;3378;581.75;3410.17
9.064;354;3344;573.72;3402.04
9.134;675;3413;565.74;3393.88
9.203;449;3369;557.80;3385.66
9.267;579;3209;549.91;3377.40
9.339;567;3196;542.06;3369.09
9.428;692;3310;534.27;3360.74
9.495;360;3431;526.52;3352.35
9.565;546;3375;518.82;3343.91
9.672;343;3404;511.17;3335.43
9.742;528;3474;503.56;3326.90
9.816;455;3362;496.01;3318.33
9.883;418;3177;488.50;3309.72
9.952;504;2919;481.04;3301.07
10.015;674;3479;473.64;3292.37
10.075;557;3473;466.28;3283.63
10.135;396;3351;458.97;3274.85
10.202;650;3380;451.72;3266.02
10.278;736;3180;444.51;3257.16
10.352;434;3131;437.36;3248.26
10.419;448;3501;430.25;3239.31
10.487;29;3324;423.20;3230.32
10.549;327;3188;416.20;3221.30
10.632;111;3036;409.25;3212.23
10.697;274;3161;402.35;3203.12
10.765;218;3168;395.50;3193.98
10.837;10;3049;388.71;3184.79
10.905;13;3283;381.97;3175.57
10.983;298;3216;375.28;3166.31
11.054;176;3061;368.64;3157.01
11.123;410;3262;362.06;3147.67
