1844;4230;1989;4000
1982;4524;1977;4000
2113;4100;1966;4000
2033;4181;1954;3999
2164;4289;1943;3999
1773;4257;1931;3999
1928;4240;1920;3998
2112;4380;1909;3998
1853;4331;1897;3997
1971;4107;1886;3997
2008;4275;1874;3996
1802;4280;1863;3995
1676;4180;1852;3994
1919;4020;1840;3994
2009;4236;1829;3993
1710;3893;1817;3992
1669;4204;1806;3991
1920;4158;1795;3989
1660;4106;1783;3988
1967;4034;1772;3987
1640;4304;1761;3986
1917;4185;1749;3984
1850;4118;1738;3983
1809;4096;1727;3981
1861;4334;1715;3980
1850;4044;1704;3978
1589;4142;1693;3976
1629;4100;1681;3974
1885;4240;1670;3973
1616;4160;1659;3971
1701;4059;1648;3969
1547;3964;1636;3967
1734;4067;1625;3965
1646;4213;1614;3962
1534;4067;1603;3960
1713;4103;1592;3958
1536;4285;1580;3955
1630;4367;1569;3953
1647;4269;1558;3951
1539;4101;1547;3948
1653;4235;1536;3945
1411;4268;1525;3943
1458;3975;1514;3940
1756;4218;1503;3937
1436;4335;1492;3934
1502;4104;1481;3931
1396;3940;1469;3928
1685;4310;1458;3925
1325;4182;1448;3922
1387;3997;1437;3919
1600;4171;1426;3916
1490;4114;1415;3912
1378;4225;1404;3909
1470;4257;1393;3906
1388;4060;1382;3902
1387;4168;1371;3899
1451;4249;1360;3895
1335;3938;1349;3891
1412;3868;1339;3887
1236;3977;1328;3884
1311;3966;1317;3880
1336;4189;1306;3876
1437;4029;1296;3872
1383;3832;1285;3868
1473;3838;1274;3864
1518;4006;1264;3860
1305;2471;1253;3855
1643;4106;1243;3851
1279;4110;1232;3847
1026;4043;1221;3842
1286;3968;1211;3838
935;2878;1200;3833
1090;3908;1190;3829
1042;3869;1180;3824
1036;3805;1169;3819
1013;3732;1159;3814
1399;4027;1148;3810
1326;3992;1138;3805
1169;4070;1128;3800
1078;4130;1118;3795
1073;3873;1107;3790
1358;3872;1097;3785
1277;3784;1087;3779
1018;3987;1077;3774
1273;3827;1067;3769
1370;3726;1057;3764
1236;4041;1047;3758
1333;3888;1036;3753
1084;4025;1026;3747
1155;3791;1017;3741
920;3970;1007;3736
1200;3857;997;3730
990;3961;987;3724
1159;3854;977;3719
1065;3784;967;3713
1014;3912;957;3707
989;3768;948;3701
972;3708;938;3695
1115;3799;928;3689
979;3729;919;3683
779;3813;909;3676
776;3616;900;3670
718;3795;890;3664
958;3531;881;3657
637;3667;871;3651
633;3708;862;3644
957;3400;852;3638
746;3533;843;3631
812;3634;834;3625
925;3732;824;3618
791;3731;815;3611
709;3658;806;3604
596;3677;797;3598
825;3584;788;3591
815;3444;779;3584
751;3376;770;3577
607;3552;761;3570
545;3555;752;3563
473;3359;743;3555
635;3590;734;3548
485;3517;725;3541
709;3593;716;3534
568;3467;708;3526
609;3506;699;3519
659;3358;690;3511
570;3292;682;3504
547;3271;673;3496
431;3425;665;3489
378;3479;656;3481
326;3437;648;3473
177;3098;639;3466
216;3251;631;3458
491;3151;623;3450
414;3443;614;3442
158;3387;606;3434
306;3182;598;3426
27;3074;590;3418
435;3304;582;3410
687;3350;574;3402
662;3140;566;3394
466;3357;558;3386
194;2997;550;3377
256;3258;542;3369
317;3349;534;3361
304;3112;527;3352
205;3011;519;3344
93;3182;511;3335
321;2967;504;3327
113;3369;489;3310
105;3059;481;3301
522;3117;474;3292
-104;3250;466;3284
141;3020;459;3275
-5;3147;452;3266
105;3324;445;3257
336;3091;437;3248
161;2953;430;3239
-53;3055;423;3230
3;2967;416;3221
-65;3123;409;3212
102;3073;402;3203
285;2963;396;3194
134;2937;389;3185
160;2961;382;3176
-90;3067;375;3166
-185;3029;369;3157
131;2974;362;3148
-115;2533;356;3138
-20;2900;349;3129
108;3085;343;3119
6;2704;336;3110
86;2727;330;3100
-208;2947;324;3091
-119;2994;317;3081
19;2830;311;3072
-139;2921;305;3062
31;2928;299;3052
-64;2990;293;3043
-299;2788;287;3033
-225;2925;281;3023
-10;2936;276;3013
-136;2710;270;3003
-133;2609;264;2993
-300;2993;259;2983
-205;2777;253;2974
-292;2973;247;2964
-119;2940;242;2953
-44;2618;236;2943
-316;2948;231;2933
-98;2806;226;2923
-239;2689;221;2913
-166;2699;215;2903
-354;2938;210;2893
-354;2862;205;2882
-89;2953;200;2872
-169;2734;195;2862
-411;2912;190;2852
-125;2588;186;2841
-281;2834;181;2831
-270;2673;176;2820
-261;2468;171;2810
-248;2520;167;2800
-159;2449;162;2789
-162;2616;158;2779
-313;2638;153;2768
-194;2433;149;2757
-62;2572;145;2747
-101;2870;140;2736
